,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка,category
0,✅ Развивающие книги для детей развивашки тетрадь пиши стирай,63063508,76,2905,697,Stickybook,122450,2159,5,https://www.wildberries.ru/catalog/63063508/detail.aspx?targetUrl=BP,Детское творчество и досуг
1,"Развивающие книги для детей, тетрадь развивашка пиши стирай",61109675,67,1940,640,Совёнок Ми,512117,650,5,https://www.wildberries.ru/catalog/61109675/detail.aspx?targetUrl=BP,Детское творчество и досуг
2,✅ Развивающие книги для детей развивашки тетрадь пиши стирай,76422520,77,3033,697,Stickybook,122450,2159,5,https://www.wildberries.ru/catalog/76422520/detail.aspx?targetUrl=BP,Детское творчество и досуг
3,Развивающие книги для детей пиши стирай,99645666,73,2270,612,Мой знайка,126205,306,5,https://www.wildberries.ru/catalog/99645666/detail.aspx?targetUrl=BP,Детское творчество и досуг
4,"Развивающие книги для детей, развивашки",72366854,63,1799,665,Ida-Land,1062687,359,5,https://www.wildberries.ru/catalog/72366854/detail.aspx?targetUrl=BP,Детское творчество и досуг
5,6 минут для детей,123296573,20,1113,890,Альпина. Книги,1373532,403,5,https://www.wildberries.ru/catalog/123296573/detail.aspx?targetUrl=BP,Детское творчество и досуг
6,Тактильная книга Крокодил с выдвижными карточками книжки для…,18399441,49,1406,717,Счастье внутри,53024,398,5,https://www.wildberries.ru/catalog/18399441/detail.aspx?targetUrl=BP,Детское творчество и досуг
7,✅ Развивающие книги для детей развивашки тетрадь пиши стирай,44273307,61,2065,805,Stickybook,122450,2159,5,https://www.wildberries.ru/catalog/44273307/detail.aspx?targetUrl=BP,Детское творчество и досуг
8,Многоразовые прописи Буквы для дошкольников,34728842,73,2490,672,Волшебные прописи,369269,354,5,https://www.wildberries.ru/catalog/34728842/detail.aspx?targetUrl=BP,Детское творчество и досуг
9,Набор книги для детей малышей годовой курс занятий игра 4+,120173743,68,6132,1962,ШКОЛА СЕМИ ГНОМОВ,25758,420,5,https://www.wildberries.ru/catalog/120173743/detail.aspx?targetUrl=BP,Детское творчество и досуг
10,"Детская Интерактивная энциклопедия. Книга для детей, Подарок",47906871,70,5630,1689,Malamalama,28039,284,5,https://www.wildberries.ru/catalog/47906871/detail.aspx?targetUrl=BP,Детское творчество и досуг
11,Комплект книг Обучение чтению и письму с нуля Букварь,18431848,67,4510,1488,Филипок и Ко,51143,612,5,https://www.wildberries.ru/catalog/18431848/detail.aspx?targetUrl=BP,Детское творчество и досуг
12,✅ Пиши стирай книга Развивающие книги для детей Развивашки,59244970,76,2750,660,Игорёша,523859,298,5,https://www.wildberries.ru/catalog/59244970/detail.aspx?targetUrl=BP,Детское творчество и досуг
